experiment	item	condition	context	shortcontext	text	qType	question
experiment	10	1	Manny works at a home improvement store, and he's an expert in kitchen appliances. Two customers, Richard and Wendy, had each just moved into new apartments, and were looking for some new gadgets.  Manny was going to sell each of them a toaster and a blender.  But then Wendy mentioned that she already had a nice toaster from her old apartment.	Manny works at a home improvement store, and he's an expert in kitchen appliances. He knows most of the people who come shopping to the store.	Manny didn't sell a toaster to Wendy.  Manny only sold a blender to Wendy.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	10	2	Manny works at a home improvement store, and he's an expert in kitchen appliances.  Two customers, Richard and Wendy, had each just moved into new apartments, and were looking for some new gadgets.  Manny was going to sell each of them a toaster and a blender.  But then Wendy mentioned that she already had a nice toaster from her old apartment.	Manny works at a home improvement store, and he's an expert in kitchen appliances. He knows most of the people who come shopping to the store.	Manny sold a blender and a toaster to Richard.  Manny only sold a blender to Wendy.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	10	3	Manny works at a home improvement store, and he's an expert in kitchen appliances.  Two customers, Richard and Wendy, had each just moved into new apartments, and were looking for some new gadgets. Manny was going to sell each of them a toaster and a blender.  But then Richard mentioned that he already had a nice blender from his old apartment.	Manny works at a home improvement store, and he's an expert in kitchen appliances. He knows most of the people who come shopping to the store.	Manny didn't sell a blender to Richard.  Manny only sold a blender to Wendy.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	10	4	Manny works at a home improvement store, and he's an expert in kitchen appliances. Two customers, Richard and Wendy, had each just moved into new apartments, and were looking for some new gadgets. Manny was going to sell each of them a toaster and a blender.  But then Richard mentioned that he already had a nice blender from his old apartment.	Manny works at a home improvement store, and he's an expert in kitchen appliances. He knows most of the people who come shopping to the store.	Manny sold a toaster to both Wendy and Richard.  Manny only sold a blender to Wendy.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	10	5	Manny works at a home improvement store, and he's an expert  in kitchen appliances. Two customers, Richard and Wendy, had each just moved into new apartments, and were looking for some new gadgets. Manny was going to sell each of them a toaster and a blender.  But then the two discovered that even if they put their money together, they could only afford to buy one appliance.	Manny works at a home improvement store, and he's an expert in kitchen appliances. He knows most of the people who come shopping to the store.	Manny didn't sell a toaster to Wendy, and he didn't sell a blender or a toaster to Richard.  Manny only sold a blender to Wendy.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	10	6	Manny works at a home improvement store, and he's an expert in kitchen appliances.  He was going to make several sales.  But then there was a fire alarm and he only managed to ring up one item for one customer.	Manny works at a home improvement store, and he's an expert in kitchen appliances. He knows most of the people who come shopping to the store.	Manny sold one appliance to one customer.  Manny only sold a blender to Wendy.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	11	1	Liz is a professor, and wants to hire two assistants to help with her writing and her research. Two of her students, Tina and Greg, apply to work with her. She thinks that Tina's writing and research skills are great, but doubts Greg's writing ability.	Liz is a professor, and wants to hire two assistants to help with her writing and her research.	Liz didn't hire Greg as a writer. Liz only hired Greg as a researcher.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	11	2	Liz is a professor, and wants to hire two assistants to help with her writing and her research. Two of her students, Tina and Greg, apply to work with her. She thinks that Tina's writing and research skills are great, but doubts Greg's writing ability.	Liz is a professor, and wants to hire two assistants to help with her writing and her research.	Liz hired Tina as a writer and a researcher. Liz only hired Greg as a researcher.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	11	3	Liz is a professor, and wants to hire two assistants to help with her writing and her research. Two of her students, Tina and Greg, apply to work with her. She realizes that even though she needs two people helping her write, she only needs one assistant for research.	Liz is a professor, and wants to hire two assistants to help with her writing and her research.	Liz didn't hire Tina as a researcher. Liz only hired Greg as a researcher.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	11	4	Liz is a professor, and wants to hire two assistants to help with her writing and her research. Two of her students, Tina and Greg, apply to work with her. She realizes that even though she needs two people helping her write, she only needs one assistant for research.	Liz is a professor, and wants to hire two assistants to help with her writing and her research.	Liz hired both Tina and Greg as writers. Liz only hired Greg as a researcher.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	11	5	Liz is a professor, and wants to hire two assistants to help with her writing and her research. Two of her students, Tina and Greg, apply to work with her. She likes Greg's research experience, but his writing experience is lacking. She doesn't like Tina's resume at all.	Liz is a professor, and wants to hire two assistants to help with her writing and her research.	Liz didn't hire Greg as a writer, and didn't hire Tina as a writer or researcher. Liz only hired Greg as a researcher.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	11	6	Liz is a professor, and wants to hire two assistants to help with her writing and her research. However, she realizes that she doesn't have enough money to hire more than one assistant or focus on more than one task this year.	Liz is a professor, and wants to hire two assistants to help with her writing and her research.	Liz picked one student and one task. Liz only hired Greg as a researcher.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	12	1	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant. He only has enough flowers to cover one yard, but he has enough vegetables for both.	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant.	Jacob didn't plant flowers in the back yard. Jacob only planted vegetables in the back yard.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	12	2	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant. He only has enough flowers to cover one yard, but he has enough vegetables for both.	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant.	Jacob planted vegetables and flowers in the front yard. Jacob only planted vegetables in the back yard.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	12	3	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant. But his front yard only fits a few plants, while his back yard is much larger.	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant.	Jacob didn't plant vegetables in the front yard. Jacob only planted vegetables in the back yard.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	12	4	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant. But his front yard only fits a few plants, while his back yard is much larger.	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant.	Jacob planted flowers in both the front yard and back yard. Jacob only planted vegetables in the back yard.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	12	5	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant. However, there is lots of construction in his front yard and he can't plant anything there yet; half of his back yard is also taken up by construction equipment, so he has less space than he realized.	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant.	Jacob didn't plant flowers in the back yard, and planted neither flowers nor vegetables in the front yard. Jacob only planted vegetables in the back yard.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	12	6	Jacob has bought some flowers and vegetables to plant. However, his wife wants to use most of their gardening space. She has allowed him to plant one type of plant in one of their two yards.	Jacob has a house with a front yard and a back yard. This year, he's bought some flowers and vegetables to plant.	Jacob had to pick one yard and one thing to plant. Jacob only planted vegetables in the back yard.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
